timestamp(ms),solenoid_commanded,analog value (1-1024) (raw),
"94.077",,"513",
"94.08","44",,
"94.084",,"510",
"94.086","44",,
"94.09",,"510",
"94.092","44",,
"94.095",,"510",
"94.098","44",,
"94.101",,"511",
"94.104","44",,
"94.107",,"515",
"94.11","44",,
"94.113",,"510",
"94.115","44",,
"94.119",,"510",
"94.121","44",,
"94.125",,"510",
"94.128","44",,
"94.131",,"511",
"94.134","45",,
"94.137",,"514",
"94.14","45",,
"94.143",,"510",
"94.145","45",,
"94.149",,"510",
"94.151","45",,
"94.154",,"511",
"94.157","45",,
"94.16",,"510",
"94.163","45",,
"94.167",,"513",
"94.17","45",,
"94.173",,"511",
"94.175","45",,
"94.179",,"510",
"94.181","45",,
"94.185",,"510",
"94.187","45",,
"94.19",,"510",
"94.193","46",,
"94.196",,"512",
"94.199","46",,
"94.202",,"514",
"94.205","46",,
"94.209",,"510",
"94.211","46",,
"94.215",,"510",
"94.217","46",,
"94.22",,"510",
"94.223","46",,
"94.226",,"511",
"94.229","46",,
"94.232",,"514",
"94.235","46",,
"94.238",,"510",
"94.24","46",,
"94.244",,"510",
"94.246","46",,
"94.249",,"510",
"94.253","47",,
"94.256",,"511",
"94.259","47",,
"94.262",,"513",
"94.265","47",,
"94.268",,"512",
"94.27","47",,
"94.274",,"510",
"94.276","47",,
"94.279",,"510",
"94.282","47",,
"94.285",,"510",
"94.288","47",,
"94.291",,"512",
"94.295","47",,
"94.298",,"513",
"94.3","47",,
"94.304",,"510",
"94.306","47",,
"94.31",,"510",
"94.312","48",,
"94.315",,"510",
"94.318","48",,
"94.321",,"511",
"94.324","48",,
"94.327",,"514",
"94.33","48",,
"94.333",,"510",
"94.336","48",,
"94.34",,"510",
"94.342","48",,
"94.345",,"510",
"94.348","48",,
"94.351",,"511",
"94.354","48",,
"94.357",,"514",
"94.36","48",,
"94.363",,"511",
"94.365","48",,
"94.369",,"510",
"94.371","49",,
"94.374",,"510",
"94.377","49",,
"94.381",,"510",
"94.384","49",,
"94.387",,"513",
"94.39","49",,
"94.393",,"512",
"94.395","49",,
"94.399",,"510",
"94.401","49",,
"94.404",,"510",
"94.407","49",,
"94.41",,"510",
"94.413","49",,
"94.416",,"512",
"94.419","49",,
"94.423",,"514",
"94.425","49",,
"94.429",,"510",
"94.431","50",,
"94.435",,"510",
"94.437","50",,
"94.44",,"510",
"94.443","50",,
"94.446",,"511",
"94.449","50",,
"94.452",,"515",
"94.455","50",,
"94.458",,"510",
"94.46","50",,
"94.465",,"510",
"94.467","50",,
"94.47",,"510",
"94.473","50",,
"94.476",,"511",
"94.479","50",,
"94.482",,"514",
"94.485","50",,
"94.488",,"511",
